Student ID,Badges
S24Student271,"Exertion, Determination"
S24Student340,"Initiative, Commitment badge (3 stars)"
S24Student61,"Exertion, Endurance (one star - left), Determination, Commitment badge (4 stars)"
S24Student355,"Exertion, Endurance (one star - left), Determination, Commitment badge (3 stars)"
S24Student339,"Exertion, Endurance (one star - left), Determination, Commitment badge (3 stars)"
S24Student149,"Exertion, Endurance (one star - left), Determination, Commitment badge (4 stars)"
S24Student234,"Initiative, Determination"
S24Student157,"Exertion, Commitment badge (3 stars)"
S24Student204,"Exertion, Commitment badge (3 stars)"
S24Student256,Exertion
S24Student249,Exertion
S24Student221,
S24Student205,Exertion
S24Student15,"Exertion, Determination"
S24Student242,"Initiative, Determination, Commitment badge (3 stars)"
S24Student227,"Initiative, Determination"
S24Student110,Determination
S24Student357,Determination
S24Student226,"Exertion, Endurance (one star - left), Determination, Commitment badge (4 stars)"
S24Student348,"Initiative, Determination, Commitment badge (3 stars)"
S24Student328,"Exertion, Endurance (one star - left), Determination, Commitment badge (3 stars)"
S24Student141,Determination
S24Student80,Exertion
S24Student186,"Exertion, Endurance (one star - left), Determination, Commitment badge (4 stars)"
S24Student225,
S24Student347,"Exertion, Commitment badge (3 stars)"
S24Student86,Exertion
S24Student216,"Exertion, Endurance (one star - left), Commitment badge (2 stars)"
S24Student81,"Initiative, Determination"
S24Student293,"Endurance (one star - left), Determination"
S24Student169,Determination
S24Student359,"Initiative, Determination, Commitment badge (3 stars)"
S24Student346,"Exertion, Commitment badge (3 stars)"
S24Student92,
S24Student160,"Exertion, Endurance (one star - left), Determination"
Carlatextpreview,
S24Student191,Exertion
S24Student312,Exertion
S24Student299,"Exertion, Commitment badge (3 stars)"
S24Student66,"Exertion, Endurance (one star - left), Determination, Commitment badge (2 stars)"
S24Student145,"Exertion, Endurance (one star - left), Determination, Commitment badge (4 stars)"
S24Student195,"Exertion, Endurance (one star - left), Determination"
S24Student203,"Exertion, Endurance (one star - left), Determination, Commitment badge (4 stars)"
