Student ID,Badges
S24Student340,"Initiative, Commitment badge (3 stars)"
S24Student160,"Exertion, Commitment badge (4 stars)"
S24Student221,Determination
S24Student339,"Exertion, Commitment badge (2 stars)"
S24Student157,"Exertion, Commitment badge (3 stars)"
S24Student149,"Exertion, Endurance (one star - left), Determination, Commitment badge (4 stars)"
S24Student293,Exertion
S24Student256,"Exertion, Determination"
S24Student15,"Exertion, Endurance (one star - left), Determination"
S24Student249,Determination
S24Student234,"Initiative, Determination"
S24Student192,"Exertion, Endurance (one star - left), Determination, Commitment badge (4 stars)"
S24Student186,"Exertion, Endurance (one star - left), Commitment badge (4 stars)"
S24Student205,Exertion
S24Student227,Initiative
S24Student357,Determination
S24Student110,Determination
S24Student141,Determination
S24Student204,"Exertion, Commitment badge (2 stars)"
S24Student226,"Exertion, Commitment badge (4 stars)"
S24Student203,"Exertion, Endurance (one star - left), Commitment badge (4 stars)"
S24Student347,"Exertion, Endurance (one star - left), Determination, Commitment badge (3 stars)"
S24Student86,"Exertion, Commitment badge (3 stars)"
S24Student225,
S24Student169,Exertion
S24Student299,"Initiative, Commitment badge (3 stars)"
S24Student95,"Endurance (one star - left), Determination"
S24Student355,Exertion
S24Student312,Exertion
S24Student177,"Initiative, Commitment badge (3 stars)"
S24Student283,Determination
S24Student81,Initiative
S24Student198,
