Student ID,Badges
"{""ImportId"":""externalDataReference""}",
S24Student256,Exertion
S24Student340,Initiative
S24Student339,Exertion
S24Student249,Exertion
S24Student205,Exertion
S24Student221,Determination
S24Student149,"Exertion, Endurance (one star - left), Determination"
S24Student255,"Endurance (one star - left), Determination"
S24Student157,Exertion
S24Student355,"Exertion, Endurance (one star - left), Determination"
S24Student271,Exertion
S24Student186,"Exertion, Endurance (one star - left)"
S24Student95,"Endurance (one star - left), Determination"
S24Student198,Exertion
S24Student234,"Initiative, Determination"
S24Student357,Determination
S24Student191,Exertion
S24Student227,Initiative
S24Student312,"Initiative, Determination"
S24Student110,"Endurance (one star - left), Determination"
S24Student226,"Exertion, Endurance (one star - left)"
S24Student91,"Exertion, Endurance (one star - left), Determination"
S24Student145,"Exertion, Endurance (one star - left), Determination"
S24Student203,"Exertion, Endurance (one star - left), Determination"
S24Student347,Exertion
S24Student225,Determination
S24Student81,"Initiative, Determination"
S24Student169,"Exertion, Determination"
S24Student228,"Exertion, Endurance (one star - left), Determination"
S24Student346,Exertion
Carlatextpreview,
S24Student242,"Initiative, Determination"
S24Student92,Determination
S24Student61,"Exertion, Endurance (one star - left)"
S24Student348,"Initiative, Determination"
S24Student335,
S24Student160,"Exertion, Determination"
S24Student299,Initiative
S24Student161,
S24Student66,"Exertion, Endurance (one star - left), Determination"
S24Student359,
S24Student177,Initiative
S24Student195,Exertion
