Student ID,Badges
S24Student256,Exertion
S24Student149,"Exertion, Commitment badge (4 stars)"
S24Student08,"Exertion, Endurance (one star - left), Determination, Commitment badge (3 stars)"
S24Student249,Exertion
S24Student205,Exertion
S24Student15,"Endurance (one star - left), Determination"
S24Student157,"Exertion, Commitment badge (3 stars)"
S24Student61,"Exertion, Endurance (one star - left), Determination, Commitment badge (4 stars)"
S24Student221,"Endurance (one star - left), Determination"
S24Student54,"Initiative, Determination, Commitment badge (3 stars)"
S24Student234,Initiative
S24Student271,Exertion
S24Student160,"Exertion, Endurance (one star - left), Determination, Commitment badge (4 stars)"
S24Student340,"Initiative, Commitment badge (3 stars)"
S24Student355,"Exertion, Endurance (one star - left), Determination, Commitment badge (4 stars)"
S24Student226,"Exertion, Endurance (one star - left), Commitment badge (4 stars)"
S24Student110,Determination
S24Student195,"Exertion, Endurance (one star - left), Determination"
S24Student227,Initiative
S24Student192,"Exertion, Endurance (one star - left), Commitment badge (4 stars)"
S24Student356,"Endurance (one star - left), Determination"
S24Student374,Determination
S24Student225,Determination
S24Student357,Exertion
S24Student216,"Exertion, Commitment badge (3 stars)"
S24Student358,Exertion
S24Student359,Initiative
S24Student169,"Endurance (one star - left), Determination"
S24Student314,Exertion
S24Student346,"Exertion, Commitment badge (3 stars)"
S24Student69,Determination
S24Student80,Exertion
S24Student372,
S24Student348,"Initiative, Determination, Commitment badge (3 stars)"
S24Student109,
S24Student104,Exertion
S24Student141,
S24Student47,"Exertion, Commitment badge (2 stars)"
S24Student339,"Initiative, Commitment badge (3 stars)"
S24Student204,"Exertion, Commitment badge (3 stars)"
S24Student364,
S24Student66,"Endurance (one star - left), Determination"
S24Student81,Initiative
S24Student347,
S24Student73,
S24Student177,Initiative
S24Student21,
S24Student299,
