Student ID,Badges
S24Student149,"Exertion, Commitment badge (4 stars)"
S24Student188,"Exertion, Endurance (one star - left), Determination, Commitment badge (4 stars)"
S24Student340,"Initiative, Determination, Commitment badge (3 stars)"
S24Student234,Exertion
S24Student227,Initiative
S24Student355,"Exertion, Endurance (one star - left), Commitment badge (4 stars)"
S24Student141,Determination
S24Student357,Exertion
S24Student110,Exertion
S24Student226,"Exertion, Commitment badge (3 stars)"
S24Student221,"Exertion, Determination"
S24Student339,"Initiative, Commitment badge (4 stars)"
S24Student160,"Exertion, Endurance (one star - left), Determination"
S24Student256,Exertion
S24Student61,"Exertion, Endurance (one star - left), Commitment badge (4 stars)"
S24Student271,"Exertion, Determination"
S24Student157,"Exertion, Commitment badge (3 stars)"
S24Student80,"Exertion, Endurance (one star - left), Determination"
S24Student287,Initiative
S24Student205,Exertion
S24Student192,"Exertion, Endurance (one star - left), Commitment badge (4 stars)"
S24Student358,Exertion
S24Student374,Exertion
S24Student347,"Exertion, Commitment badge (2 stars)"
S24Student225,Determination
S24Student346,"Exertion, Endurance (one star - left), Commitment badge (3 stars)"
S24Student359,Initiative
S24Student177,"Initiative, Commitment badge (3 stars)"
S24Student228,"Exertion, Endurance (one star - left), Determination, Commitment badge (4 stars)"
S24Student81,"Initiative, Determination"
S24Student83,Exertion
S24Student216,"Exertion, Endurance (one star - left), Commitment badge (3 stars)"
S24Student92,Exertion
S24Student372,
S24Student95,"Exertion, Determination"
S24Student08,Exertion
S24Student91,
S24Student224,Exertion
S24Student204,Exertion
S24Student66,Exertion
S24Student169,Determination
