Student ID,Badges
S24Student256,Exertion
S24Student271,Exertion
S24Student340,"Initiative, Commitment badge (3 stars)"
S24Student149,"Exertion, Endurance (one star - left), Determination, Commitment badge (4 stars)"
S24Student339,"Initiative, Commitment badge (3 stars)"
S24Student287,Initiative
S24Student205,Exertion
S24Student61,"Exertion, Endurance (one star - left), Commitment badge (4 stars)"
S24Student355,"Exertion, Endurance (one star - left), Determination, Commitment badge (4 stars)"
S24Student221,"Endurance (one star - left), Determination"
S24Student249,Exertion
S24Student234,Exertion
S24Student359,Initiative
S24Student357,"Endurance (one star - left), Determination"
S24Student110,Determination
S24Student141,Determination
S24Student226,"Exertion, Endurance (one star - left), Commitment badge (4 stars)"
S24Student227,Initiative
S24Student160,"Exertion, Endurance (one star - left), Determination, Commitment badge (4 stars)"
S24Student329,"Exertion, Endurance (one star - left), Determination, Commitment badge (4 stars)"
S24Student348,"Initiative, Commitment badge (3 stars)"
S24Student347,"Exertion, Commitment badge (3 stars)"
S24Student225,Determination
S24Student374,"Endurance (one star - left), Determination"
S24Student157,"Exertion, Commitment badge (3 stars)"
S24Student169,"Endurance (one star - left), Determination"
S24Student186,"Exertion, Endurance (one star - left), Determination, Commitment badge (4 stars)"
S24Student81,"Initiative, Determination"
S24Student92,Exertion
S24Student95,
Carlatextpreview,
S24Student203,"Exertion, Endurance (one star - left), Determination, Commitment badge (4 stars)"
S24Student312,"Initiative, Determination"
S24Student38,"Exertion, Endurance (one star - left), Determination, Commitment badge (1 star)"
S24Student216,"Exertion, Commitment badge (3 stars)"
S24Student66,"Exertion, Endurance (one star - left), Determination, Commitment badge (1 star)"
S24Student211,"Endurance (one star - left), Determination"
S24Student145,"Exertion, Endurance (one star - left), Determination, Commitment badge (4 stars)"
S24Student299,"Initiative, Commitment badge (4 stars)"
S24Student283,
S24Student356,"Exertion, Commitment badge (1 star)"
S24Student156,
S24Student363,
S24Student260,
S24Student215,
S24Student328,Determination
