StartDate,EndDate,RecordedDate,ExternalReference,Trivia Day,Starting level,L1 problem,L1 incorrect answer,L1 idk answer,softexitaftrL1wrong,L1 answer after hint,L1 wrng after hint,l1 idk after hint,L1 right after hint,chce L1 init wrong,L1 choice correct,L1correct soln chce,softexitaftrL1right,l1sim problem,l1sim rt choice,l1sim wrng choice,idk after L1sim,chice after sim soln,L2 problem,L2 choice aftr wrong,L2 choice after idk,L2 after hint answer,L2 hint right choice,L2 hint wrong choice,idk after L2hint,L2 right choice,L2 soln,L1x1q answer,L1x1 right choice,L1x1 wrong choice,L1x1 idk choice,L1x2q answer,L1x2 right choice,L1x2 wrong choice,L1x2 idk choice,L2x1q answer,L2x1 right choice,L2x1 wrong choice,L2x1 idk choice,L2x2q answer,Trivia,Problem Number,Problem Label
Start Date,End Date,,External Data Reference,Hi! Today is a Trivia Day so you get to choose...,Starting level,"Now, give it a try!

 


   

\displaystyle \sin \theta = \hspace{.3em} ?",What's next?,What's next?,Please stick around!,"See if this helps...

 


   

\displaystyle \sin \theta = \hspace{.3em} ?


\textbf{HINT:}\\ \displaystyle \textit{Right triangle trig...}\\ \text{SOHCAHTOA}",What's next for you?,What's next for you?,What's next for you?,What would you like to do now?,"Now, what's next for you today?",What's next for you?,Wanna stick around for a bit more?,"Now, give it a try!

 



   

\displaystyle \cos \theta = \hspace{.3em} ?",What's next?,What's next?,What's next?,What would you like to do now?,"Now, give it a try!

  



   

\displaystyle \csc \theta = \hspace{.3em} ?",What's next for you?,What's next for you?,"See if this helps...




   

\displaystyle \csc \theta = \hspace{.3em} ?


\textbf{HINT:}\\ \displaystyle \csc \theta = \frac{1}{\sin \theta}",What's next?,What's next?,What's next?,What's next?,Want to work out more?,"Choose an answer and then hit

NEXT to see if you're right!

 



   

\displaystyle \tan \theta = \hspace{.3em} ?","Right! Keep going!

 


   

\displaystyle \tan \theta =  \frac{y}{x}","Not quite...

but practice makes perfect!

 


   

\displaystyle \tan \theta = \frac{y}{x}","That's ok!

Knowing what you don't know

is a good thing!

 


   

\displaystyle \tan \theta = \frac{y}{x}","Try this one...





   

\displaystyle \sin^2 \theta = \hspace{.3em} ?","Right!

Keep challenging yourself!

 


   

\displaystyle \sin^2 \theta = \left(\frac{y}{r}\right)^2","Not quite...

but kudos for trying!

 


   

\displaystyle \sin^2 \theta = \left(\frac{y}{r}\right)^2","That's ok!

Learn from what you don't know!

 


   

\displaystyle \sin^2 \theta = \left(\frac{y}{r}\right)^2","What do you think for this one?






   

\displaystyle \sec \theta =  \hspace{.3em} ?","Right!

Push yourself more!
 


   

\displaystyle \sec \theta = \frac{r}{x}","Not quite...

but your brain is growing!




   

\displaystyle \sec \theta = \frac{r}{x}","That's ok!

You'll learn with practice!

 


   

\displaystyle \sec \theta = \frac{r}{x}","Last one!

 


   

\displaystyle \cot \theta =\hspace{.3em} ?","Some fun trivia for you...

In Calc 2, we'll start with x's and y's in the familiar Cartesian (rectangular) coordinate system.

Then, at the end, we'll change the wallpaper to r's and theta's in the polar system.



Why do we call it the ""Cartesian"" system?",#90,AT07 + trivia
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",,"{""ImportId"":""externalDataReference""}","{""ImportId"":""QID136""}","{""ImportId"":""QID26""}","{""ImportId"":""QID4""}","{""ImportId"":""QID42""}","{""ImportId"":""QID98""}","{""ImportId"":""QID72""}","{""ImportId"":""QID45""}","{""ImportId"":""QID47""}","{""ImportId"":""QID99""}","{""ImportId"":""QID49""}","{""ImportId"":""QID81""}","{""ImportId"":""QID33""}","{""ImportId"":""QID54""}","{""ImportId"":""QID56""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID79""}","{""ImportId"":""QID100""}","{""ImportId"":""QID83""}","{""ImportId"":""QID75""}","{""ImportId"":""QID35""}","{""ImportId"":""QID101""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID102""}","{""ImportId"":""QID74""}","{""ImportId"":""QID40""}","{""ImportId"":""QID1318333255""}","{""ImportId"":""QID118""}","{""ImportId"":""QID125""}","{""ImportId"":""QID129""}","{""ImportId"":""QID119""}","{""ImportId"":""QID120""}","{""ImportId"":""QID126""}","{""ImportId"":""QID130""}","{""ImportId"":""QID121""}","{""ImportId"":""QID122""}","{""ImportId"":""QID127""}","{""ImportId"":""QID131""}","{""ImportId"":""QID123""}","{""ImportId"":""QID133""}",#90,AT07 + trivia
2024-08-11 11:37:10,2024-08-11 11:40:21,2024-08-11,S24Student92,calc plus trivia,L1 Start,a,,,,,,,,,straight to L2,,,,,,,,a,,,,,,,trivia,,,,,,,,,,,,,,,"It comes from ""carte,"" the French word for map, since (x,y) coordinates were originally used to draw maps of cities and towns.",#90,AT07 + trivia
2024-08-11 11:37:21,2024-08-11 11:42:22,2024-08-11,S24Student149,calc plus trivia,L1 Start,a,,,,,,,,,straight to L2,,,,,,,,a,,,,,,,L2 soln,flashcards,a,Try L1X2 flashcard,,,b,,Try L2X1 flashcard,,a,Try L2X2 flashcard,,,a,"It's named in honor of the 17th century mathematician and philosopher, Rene Descartes, who bridged geometry and algebra.",#90,AT07 + trivia
2024-08-11 11:40:43,2024-08-11 11:43:17,2024-08-11,S24Student256,calc plus trivia,L1 Start,a,,,,,,,,,straight to L2,,,,,,,,a,,,,,,,trivia,,,,,,,,,,,,,,,"It comes from ""carte,"" the French word for map, since (x,y) coordinates were originally used to draw maps of cities and towns.",#90,AT07 + trivia
2024-08-11 11:38:59,2024-08-11 11:45:19,2024-08-11,S24Student157,calc plus trivia,L1 Start,a,,,,,,,,,straight to L2,,,,,,,,a,,,,,,,L2 soln,flashcards,a,Try L1X2 flashcard,,,a,Try L2X1 flashcard,,,a,Try L2X2 flashcard,,,a,"It comes from ""carte,"" the French word for map, since (x,y) coordinates were originally used to draw maps of cities and towns.",#90,AT07 + trivia
2024-08-11 11:48:43,2024-08-11 11:49:27,2024-08-11,S24Student227,calc plus trivia,L2 Start,,,,,,,,,,,,,,,,,,d,L2 hint,,a,trivia,,,,,,,,,,,,,,,,,,"It comes from ""carte,"" the French word for map, since (x,y) coordinates were originally used to draw maps of cities and towns.",#90,AT07 + trivia
2024-08-11 11:45:16,2024-08-11 11:49:38,2024-08-11,S24Student335,calc plus trivia,L1 Start,d,hint,,,a,,,soln maybe more,similar problem,,,,a,L1sim soln maybe more,,,L2,a,,,,,,,L2 soln,trivia,,,,,,,,,,,,,,"It comes from ""carte,"" the French word for map, since (x,y) coordinates were originally used to draw maps of cities and towns.",#90,AT07 + trivia
2024-08-11 12:03:10,2024-08-11 12:04:21,2024-08-11,S24Student160,calc plus trivia,L1 Start,a,,,,,,,,,straight to L2,,,,,,,,a,,,,,,,trivia,,,,,,,,,,,,,,,"It's named in honor of the 17th century mathematician and philosopher, Rene Descartes, who bridged geometry and algebra.",#90,AT07 + trivia
2024-08-11 12:04:28,2024-08-11 12:05:31,2024-08-11,S24Student205,calc plus trivia,L1 Start,a,,,,,,,,,straight to L2,,,,,,,,a,,,,,,,trivia,,,,,,,,,,,,,,,"It comes from ""carte,"" the French word for map, since (x,y) coordinates were originally used to draw maps of cities and towns.",#90,AT07 + trivia
