StartDate,EndDate,RecordedDate,ExternalReference,Starting level,L1 problem,L1 incorrect answer,L1 idk answer,softexitaftrL1wrong,L1 answer after hint,L1 wrng after hint,l1 idk after hint,L1 right after hint,chce L1 init wrong,L1 choice correct,L1correct soln chce,softexitaftrL1right,l1sim problem,l1sim rt choice,l1sim wrng choice,idk after L1sim,chice after sim soln,L2 problem,L2 choice aftr wrong,L2 choice after idk,L2 after hint answer,L2 hint right choice,L2 hint wrong choice,idk after L2hint,L2 right choice,L2 soln,L1x1q answer,L1x1 right choice,L1x1 wrong choice,L1x1 idk choice,L1x2q answer,L1x2 right choice,L1x2 wrong choice,L1x2 idk choice,L2x1q answer,L2x1 right choice,L2x1 wrong choice,L2x1 idk choice,L2x2q answer,Problem Number,Problem Label
Start Date,End Date,,External Data Reference,"We have a new flashcard

format! Check it out!","Now, give it a try!",What's next?,What's next?,Please stick around!,See if this helps...,What's next for you?,What's next for you?,What's next for you?,What would you like to do now?,"Now, what's next for you today?",What's next for you?,Wanna stick around for a bit more?,"Now, give it a try!",What's next?,What's next?,What's next?,What would you like to do now?,"Now, give it a try!",What's next for you?,What's next for you?,See if this helps...,What's next?,What's next?,What's next?,What's next?,Want to work out more?,"Choose an answer and then hit

NEXT to see if you're right!",Right! Keep going!,"Not quite...

but practice makes perfect!","That's ok!

Knowing what you don't know

is a good thing!",Try this one...,"Right!

Keep challenging yourself!","Not quite...

but kudos for trying!","That's ok!

Learn from what you don't know!",What do you think for this one?,"Right!

Push yourself more!","Not quite...

but your brain is growing!","That's ok!

You'll learn with practice!",Last one!,#94,DL07
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",,"{""ImportId"":""externalDataReference""}","{""ImportId"":""QID26""}","{""ImportId"":""QID4""}","{""ImportId"":""QID42""}","{""ImportId"":""QID98""}","{""ImportId"":""QID72""}","{""ImportId"":""QID45""}","{""ImportId"":""QID47""}","{""ImportId"":""QID99""}","{""ImportId"":""QID49""}","{""ImportId"":""QID81""}","{""ImportId"":""QID33""}","{""ImportId"":""QID54""}","{""ImportId"":""QID56""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID79""}","{""ImportId"":""QID100""}","{""ImportId"":""QID83""}","{""ImportId"":""QID75""}","{""ImportId"":""QID35""}","{""ImportId"":""QID101""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID102""}","{""ImportId"":""QID74""}","{""ImportId"":""QID40""}","{""ImportId"":""QID1318333255""}","{""ImportId"":""QID118""}","{""ImportId"":""QID125""}","{""ImportId"":""QID129""}","{""ImportId"":""QID119""}","{""ImportId"":""QID120""}","{""ImportId"":""QID126""}","{""ImportId"":""QID130""}","{""ImportId"":""QID121""}","{""ImportId"":""QID122""}","{""ImportId"":""QID127""}","{""ImportId"":""QID131""}","{""ImportId"":""QID123""}",#94,DL07
2024-08-15 11:31:14,2024-08-15 11:32:05,2024-08-15,S24Student256,L1 Start,a,,,,,,,,,straight to L2,,,,,,,,a,,,,,,,exit,,,,,,,,,,,,,,,#94,DL07
2024-08-15 11:30:52,2024-08-15 11:32:58,2024-08-15,S24Student149,L1 Start,a,,,,,,,,,straight to L2,,,,,,,,a,,,,,,,L2 soln,flashcards,a,Try L1X2 flashcard,,,a,Try L2X1 flashcard,,,a,Try L2X2 flashcard,,,a,#94,DL07
2024-08-15 11:32:03,2024-08-15 11:34:50,2024-08-15,S24Student08,L1 Start,b,hint,,,c,soln maybe another,,,similar problem,,,,a,L1sim soln maybe more,,,L2,a,,,,,,,L2 soln,flashcards,a,Try L2X1 flashcard,,,,,,,a,Try L2X2 flashcard,,,a,#94,DL07
2024-08-15 11:45:39,2024-08-15 11:46:08,2024-08-15,S24Student249,L1 Start,a,,,,,,,,,straight to L2,,,,,,,,a,,,,,,,exit,,,,,,,,,,,,,,,#94,DL07
2024-08-15 11:46:01,2024-08-15 11:46:31,2024-08-15,S24Student205,L1 Start,a,,,,,,,,,straight to L2,,,,,,,,a,,,,,,,exit,,,,,,,,,,,,,,,#94,DL07
2024-08-15 12:08:32,2024-08-15 12:10:31,2024-08-15,S24Student15,L1 Start,b,hint,,,b,soln maybe another,,,similar problem,,,,a,exit,,,,,,,,,,,,,,,,,,,,,,,,,,#94,DL07
2024-08-15 12:34:25,2024-08-15 12:38:43,2024-08-15,S24Student157,L1 Start,a,,,,,,,,,straight to L2,,,,,,,,a,,,,,,,L2 soln,flashcards,a,Try L2X1 flashcard,,,,,,,a,Try L2X2 flashcard,,,a,#94,DL07
2024-08-15 12:57:16,2024-08-15 13:01:38,2024-08-15,S24Student61,L1 Start,b,hint,,,a,,,soln maybe more,similar problem,,,,a,L1sim soln maybe more,,,L2,a,,,,,,,L2 soln,flashcards,a,Try L1X2 flashcard,,,a,Try L2X1 flashcard,,,a,Try L2X2 flashcard,,,a,#94,DL07
2024-08-15 13:03:16,2024-08-15 13:04:22,2024-08-15,S24Student221,L1 Start,d,hint,,,c,soln maybe another,,,similar problem,,,,a,exit,,,,,,,,,,,,,,,,,,,,,,,,,,#94,DL07
2024-08-15 13:24:39,2024-08-15 13:26:33,2024-08-15,S24Student54,L2 Start,,,,,,,,,,,,,,,,,,d,L2 hint,,b,,L2 soln,,,flashcards,a,Try L2X1 flashcard,,,,,,,a,Try L2X2 flashcard,,,a,#94,DL07
2024-08-15 13:46:25,2024-08-15 13:47:01,2024-08-15,S24Student234,L2 Start,,,,,,,,,,,,,,,,,,a,,,,,,,exit,,,,,,,,,,,,,,,#94,DL07
2024-08-15 14:14:26,2024-08-15 14:15:50,2024-08-15,S24Student271,L1 Start,a,,,,,,,,,straight to L2,,,,,,,,a,,,,,,,exit,,,,,,,,,,,,,,,#94,DL07
2024-08-15 15:08:20,2024-08-15 15:09:53,2024-08-15,S24Student160,L1 Start,b,hint,,,d,soln maybe another,,,similar problem,,,,a,L1sim soln maybe more,,,L2,a,,,,,,,L2 soln,flashcards,a,Try L1X2 flashcard,,,a,Try L2X1 flashcard,,,a,Try L2X2 flashcard,,,a,#94,DL07
2024-08-15 15:08:53,2024-08-15 15:13:29,2024-08-15,S24Student340,L2 Start,,,,,,,,,,,,,,,,,,a,,,,,,,L2 soln,flashcards,d,,Try L2X1 flashcard,,,,,,a,Try L2X2 flashcard,,,d,#94,DL07
2024-08-15 15:13:24,2024-08-15 15:15:59,2024-08-15,S24Student355,L1 Start,c,hint,,,b,soln maybe another,,,similar problem,,,,a,L1sim soln maybe more,,,L2,a,,,,,,,L2 soln,flashcards,a,Try L1X2 flashcard,,,a,Try L2X1 flashcard,,,a,Try L2X2 flashcard,,,a,#94,DL07
2024-08-15 15:31:47,2024-08-15 15:33:29,2024-08-15,S24Student226,L1 Start,a,,,,,,,,,L1 soln maybe more,L1sim,,a,L1sim soln maybe more,,,L2,a,,,,,,,L2 soln,flashcards,a,Try L1X2 flashcard,,,a,Try L2X1 flashcard,,,a,Try L2X2 flashcard,,,a,#94,DL07
2024-08-15 16:05:53,2024-08-15 16:06:51,2024-08-15,S24Student110,L1 Start,c,hint,,,b,soln maybe another,,,exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#94,DL07
2024-08-15 16:45:15,2024-08-15 16:48:31,2024-08-15,S24Student195,L1 Start,b,soln maybe more,,,,,,,similar problem,,,,a,L1sim soln maybe more,,,L2,a,,,,,,,exit,,,,,,,,,,,,,,,#94,DL07
2024-08-15 17:33:15,2024-08-15 17:33:35,2024-08-15,S24Student227,L2 Start,,,,,,,,,,,,,,,,,,a,,,,,,,exit,,,,,,,,,,,,,,,#94,DL07
2024-08-15 18:54:33,2024-08-15 18:58:56,2024-08-15,S24Student192,L1 Start,a,,,,,,,,,L1 soln maybe more,L1sim,,a,L1sim soln maybe more,,,L2,a,,,,,,,L2 soln,flashcards,a,Try L1X2 flashcard,,,a,Try L2X1 flashcard,,,a,Try L2X2 flashcard,,,a,#94,DL07
2024-08-15 17:52:31,2024-08-15 19:38:53,2024-08-15,S24Student356,L1 Start,b,hint,,,a,,,soln maybe more,similar problem,,,,a,exit,,,,,,,,,,,,,,,,,,,,,,,,,,#94,DL07
2024-08-15 20:32:08,2024-08-15 20:33:32,2024-08-15,S24Student374,L1 Start,b,hint,,,a,,,exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#94,DL07
2024-08-15 20:34:25,2024-08-15 20:35:09,2024-08-15,S24Student225,L1 Start,c,hint,,,b,exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#94,DL07
2024-08-15 20:54:48,2024-08-15 20:55:30,2024-08-15,S24Student357,L1 Start,a,,,,,,,,,straight to L2,,,,,,,,a,,,,,,,exit,,,,,,,,,,,,,,,#94,DL07
2024-08-15 21:22:42,2024-08-15 21:25:48,2024-08-15,S24Student216,L1 Start,a,,,,,,,,,straight to L2,,,,,,,,a,,,,,,,L2 soln,flashcards,a,Try L2X1 flashcard,,,,,,,a,Try L2X2 flashcard,,,a,#94,DL07
2024-08-15 21:33:04,2024-08-15 21:34:17,2024-08-15,S24Student358,L1 Start,a,,,,,,,,,straight to L2,,,,,,,,a,,,,,,,exit,,,,,,,,,,,,,,,#94,DL07
2024-08-15 22:52:30,2024-08-15 22:53:06,2024-08-15,S24Student359,L2 Start,,,,,,,,,,,,,,,,,,a,,,,,,,exit,,,,,,,,,,,,,,,#94,DL07
2024-08-15 23:46:55,2024-08-15 23:49:23,2024-08-15,S24Student169,L1 Start,b,hint,,,a,,,soln maybe more,similar problem,,,,a,exit,,,,,,,,,,,,,,,,,,,,,,,,,,#94,DL07
2024-08-16 07:29:13,2024-08-16 07:30:14,2024-08-16,S24Student314,L1 Start,a,,,,,,,,,straight to L2,,,,,,,,a,,,,,,,exit,,,,,,,,,,,,,,,#94,DL07
2024-08-16 08:10:01,2024-08-16 08:12:18,2024-08-16,S24Student346,L1 Start,a,,,,,,,,,straight to L2,,,,,,,,a,,,,,,,L2 soln,flashcards,a,Try L2X1 flashcard,,,,,,,a,Try L2X2 flashcard,,,a,#94,DL07
2024-08-15 11:31:31,2024-08-15 11:33:25,2024-08-16,S24Student69,L1 Start,b,hint,,,a,,,soln maybe more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#94,DL07
2024-08-15 11:50:24,2024-08-15 11:51:16,2024-08-16,S24Student80,L1 Start,a,,,,,,,,,straight to L2,,,,,,,,b,L2 soln,,,,,,,,,,,,,,,,,,,,,#94,DL07
2024-08-15 13:02:03,2024-08-15 13:02:36,2024-08-16,S24Student372,L1 Start,idk,,soln maybe more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#94,DL07
2024-08-16 13:25:21,2024-08-16 13:36:17,2024-08-16,S24Student348,L2 Start,,,,,,,,,,,,,,,,,,b,L2 hint,,a,L2 soln,,,,flashcards,a,Try L2X1 flashcard,,,,,,,a,Try L2X2 flashcard,,,a,#94,DL07
2024-08-15 14:00:36,2024-08-15 14:00:59,2024-08-16,S24Student109,L1 Start,a,,,,,,,,,L1 soln maybe more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#94,DL07
2024-08-15 15:03:09,2024-08-15 15:04:26,2024-08-16,S24Student104,L1 Start,a,,,,,,,,,straight to L2,,,,,,,,a,,,,,,,,,,,,,,,,,,,,,,#94,DL07
2024-08-15 15:32:24,2024-08-16 15:32:17,2024-08-16,S24Student141,L1 Start,a,,,,,,,,,exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#94,DL07
