Student ID,Current Streak
S24Student141,3
S24Student226,7
S24Student312,1
S24Student227,7
S24Student61,4
S24Student359,4
S24Student225,7
External Data Reference,7
S24Student109,0
"{""ImportId"":""externalDataReference""}",7
S24Student195,0
S24Student80,0
S24Student339,7
S24Student186,1
S24Student215,1
S24Student234,7
S24Student221,7
S24Student110,7
S24Student145,1
S24Student293,0
S24Student355,7
S24Student357,7
S24Student149,7
S24Student161,0
S24Student205,7
S24Student249,1
S24Student157,7
S24Student347,7
S24Student192,0
S24Student299,1
S24Student169,7
S24Student340,7
S24Student92,2
S24Student204,0
S24Student160,7
S24Student228,0
S24Student335,0
S24Student256,7
S24Student81,7
S24Student271,4
S24Student203,1
S24Student348,1
S24Student191,0
S24Student328,1
S24Student15,0
S24Student242,0
S24Student216,3
S24Student66,4
S24Student346,0
Carlatextpreview,1
S24Student86,0
S24Student283,1
S24Student198,0
S24Student177,0
S24Student95,2
S24Student255,0
S24Student91,0
S24Student364,0
S24Student54,0
S24Student374,3
S24Student356,1
S24Student47,0
S24Student21,0
S24Student314,0
S24Student358,0
S24Student104,0
S24Student69,0
S24Student08,0
S24Student73,0
S24Student372,0
S24Student224,0
S24Student287,2
S24Student83,0
S24Student188,0
S24Student156,1
S24Student38,1
S24Student211,1
S24Student363,1
S24Student260,1
S24Student329,1
